PMID,Title,Abstract,MeSH headings,Authors,Journal,Year,Month,Source,Country,Tokens,PMCID
34898585,Novel Therapeutic Method for Unresectable Pancreatic Cancer-The Impact of the Long-Term Research in Therapeutic Effect of High-Intensity Focused Ultrasound (HIFU) Therapy.,"High-intensity focused ultrasound (HIFU) is a novel advanced therapy for unresectable pancreatic cancer (PC). HIFU therapy with chemotherapy is being promoted as a novel method to control local advancement by tumor ablation. We evaluated the therapeutic effects of HIFU therapy in locally advanced and metastatic PC. PC patients were treated with HIFU as an optional local therapy and systemic chemotherapy. The FEP-BY02 (Yuande Bio-Medical Engineering) HIFU device was used under ultrasound guidance. Of 176 PC patients, 89 cases were Stage III and 87 were Stage IV. The rate of complete tumor ablation was 90.3%, while that of symptom relief was 66.7%. The effectiveness on the primary lesions were as follows: complete response (CR): n = 0, partial response (PR): n = 21, stable disease (SD): n = 106, and progressive disease (PD): n = 49; the primary disease control rate was 72.2%. Eight patients underwent surgery. The median survival time (MST) after diagnosis for HIFU with chemotherapy compared to chemotherapy alone (100 patients in our hospital) was 648 vs. 288 days (p < 0.001). Compared with chemotherapy alone, the combination of HIFU therapy and chemotherapy demonstrated significant prolongation of prognosis. This study suggests that HIFU therapy has the potential to be a novel combination therapy for unresectable PC.",Combined Modality Therapy; *Extracorporeal Shockwave Therapy; *High-Intensity Focused Ultrasound Ablation/adverse effects/methods; Humans; *Pancreatic Neoplasms/pathology,Sofuni A; Asai Y; Tsuchiya T; Ishii K; Tanaka R; Tonozuka R; Honjo M; Mukai S; Nagai K; Yamamoto K; Matsunami Y; Kurosawa T; Kojima H; Homma T; Minami H; Nakatsubo R; Hirakawa N; Miyazawa H; Nagakawa Y; Tsuchida A; Itoi T,"Current oncology (Toronto, Ont.)",2021,Nov,Curr Oncol. 2021 Nov 20;28(6):4845-4861. doi: 10.3390/curroncol28060409.,Switzerland,412,8628685
34762217,Quality of life of locally advanced pancreatic cancer patients after FOLFIRINOX treatment.,"BACKGROUND: Quality of life in cancer patients might be affected by chemotherapy-induced toxicity. Especially in patients with pancreatic ductal adenocarcinoma (PDAC), with a short life expectancy, fear of poor quality of life is often a reason for both patients and medical oncologists to refrain from further treatment. In this study, we investigated quality of life (QoL), pain, sleep, and activity levels in locally advanced pancreatic cancer (LAPC) patients after FOLFIRINOX treatment. METHODS: A total of 41 LAPC patients with stable disease or partial response were included after completion of at least four cycles of FOLFIRINOX. QoL was measured with the EORTC QLQ-C30 and NRS pain scores. Patients completed the Richards-Campbell Sleep Questionnaire (RCSQ) for five consecutive nights and wore a GENEActiv tri-axial accelerometer (Actiwatch) for 7 days, registering sleep duration, efficiency, and activity. RESULTS: Mean EORTC QLQ-C30 score for global health status was 78.3 (+/- 17.3), higher than reference values for cancer patients (P < 0.001) and general population (P = 0.045). LAPC patients reported few disease-related symptoms. Two patients (5%) reported pain scores > 3. Mean sleep duration was 8 h/night (+/- 1.2 h) and sleep efficiency 70% (+/- 9%) with high patient-reported quality of sleep (mean RCSQ score 72.0 +/- 11.4). Mean duration of moderate-vigorous activity was 37 min/week (+/- 103 min/week). CONCLUSIONS: QoL is very good in most LAPC patients with disease control after FOLFIRINOX, measured with validated questionnaires and Actiwatch registration. The fear of clinical deterioration after FOLFIRINOX is not substantiated by this study and should not be a reason to refrain from treatment. TRIAL REGISTRATION: Dutch trial register NL7578.",Antineoplastic Combined Chemotherapy Protocols/adverse effects; Fluorouracil; Humans; Irinotecan; Leucovorin/adverse effects; Oxaliplatin; *Pancreatic Neoplasms/drug therapy; *Quality of Life,van der Sijde F; Schafthuizen L; van 't Land FR; Moskie M; van Laarhoven HWM; van Dijk M; van Eijck CHJ,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,2022,Mar,Support Care Cancer. 2022 Mar;30(3):2407-2415. doi: 10.1007/s00520-021-06648-1. Epub 2021 Nov 11.,Germany,340,8794891
40568369,Advanced Detection of Pancreatic Cancer Circulating Tumor Cells Using Biomarkers and Magnetic Particle Spectroscopy.,"Background: Pancreatic ductal adenocarcinoma (PDAC) typically develops without symptoms, and its aggressive progression combined with late-stage diagnosis underscores the critical need for improved early detection strategies. Circulating tumor cells (CTCs) in blood are potential biomarkers for PDAC. In this study, the detection of pancreatic cancer-associated CTCs was evaluated using two magnetic-based diagnostic systems in a comparative approach. Methods: Two distinct nanotheranostic platforms were developed: monoclonal antibody-conjugated magnetic nanoparticles (mAbs-MNPs) and magnetized exosomes (termed Magxosomes). Anti-mesothelin and anti-vimentin were used as monoclonal antibodies, while mesenchymal stem cells (MSCs) treated with MNPs served as the source of Magxosomes. Characterization of nano-systems was performed using dynamic light scattering (DLS), inductively coupled plasma mass spectrometry (ICP-MS), nanoparticle tracking analysis (NTA), and transmission electron microscopy (TEM). Blood samples were collected from pancreatic cancer mouse models, treated with nanotheranostic platforms, and analyzed using a homemade magnetic particle spectroscopy (MPS) device. Results: The detection of pancreatic cancer-associated CTCs was investigated using nanotheranostic platforms alongside an MPS instrument. In this context, the mAbs-MNPs systems demonstrated varying efficiencies in the diagnosis of CTCs, with Ant-V-MNPs (anti-vimentin conjugated MNPs) achieving 27.47%, Ant-M-MNPs (anti-mesothelin conjugated MNPs) at 13.59%, and a 50:50 mixture of Ant-M-MNPs: Ant-V-MNPs showing an efficiency of 19.73%. Conversely, the efficiencies of Magxosomes were notably higher. Bone marrow stem cell (BMSC)-derived Magxosomes achieved an average efficiency of 63.39%, while adipose-derived stem cell (ADSC)-derived Magxosomes exhibited an average efficiency of 56.23%. Conclusions: This study introduces a promising method for early pancreatic cancer diagnosis by detecting CTCs in blood. It employs a non-invasive, rapid test using an advanced MPS instrument (1 ng detection limit) and nanotheranostic platforms. Results confirm the system's robustness in identifying pancreatic cancer CTCs. This approach may support future developments in cancer diagnostics and monitoring.","*Neoplastic Cells, Circulating/pathology/metabolism; *Pancreatic Neoplasms/pathology/blood/diagnosis; Animals; Mice; *Biomarkers, Tumor/blood; Humans; *Magnetite Nanoparticles/chemistry; Exosomes/chemistry; Cell Line, Tumor; Antibodies, Monoclonal/chemistry; *Carcinoma, Pancreatic Ductal/blood/diagnosis/pathology; Mesenchymal Stem Cells; Spectrum Analysis/methods",Dinari A; Ahmad HA; Oh S; Kim YH; Yoon J,Nanotheranostics,2025,,Nanotheranostics. 2025 Jun 12;9(2):171-185. doi: 10.7150/ntno.110074. eCollection 2025.,Australia,537,12188535
37022483,The impact of early palliative care on the quality of life of patients with advanced pancreatic cancer: The IMPERATIVE case-crossover study.,"PURPOSE: Pancreatic cancer is a lethal disease. Many patients experience a heavy burden of cancer-associated symptoms and poor quality of life (QOL). Early palliative care alongside standard oncologic care results in improved QOL and survival in some cancer types. The benefit in advanced pancreatic cancer (APC) is not fully quantified. METHODS: In this prospective case-crossover study, patients >/= 18 years old with APC were recruited from ambulatory clinics at a tertiary cancer center. Patients underwent a palliative care consultation within 2 weeks of registration, with follow up visits every 2 weeks for the first month, then every 4 weeks until week 16, then as needed. The primary outcome was change in QOL between baseline (BL) and week 16, measured by Functional Assessment of Cancer Therapy - hepatobiliary (FACT-Hep). Secondary outcomes included symptom control (ESAS-r), depression, and anxiety (HADS, PHQ-9) at week 16. RESULTS: Of 40 patients, 25 (63%) were male, 28 (70%) had metastatic disease, 31 (78%) had ECOG performance status 0-1, 31 (78%) received chemotherapy. Median age was 70. Mean FACT-hep score at BL was 118.8, compared to 125.7 at week 16 (mean change 6.89, [95%CI (-1.69-15.6); p = 0.11]). On multivariable analysis, metastatic disease (mean change 15.3 [95%CI (5.3-25.2); p = 0.004]) and age < 70 (mean change 12.9 [95%CI (0.5-25.4); p = 0.04]) were associated with improved QOL. Patients with metastatic disease had significant improvement in symptom burden (mean change -7.4 [95%CI (-13.4 to -1.4); p = 0.02]). There was no difference in depression or anxiety from BL to week 16. CONCLUSION: Palliative care should be integrated early in the journey for patients with APC, as it can improve QOL and symptom burden. TRIAL REGISTRATION: Clinicaltrials.gov identifier: NCT03837132.",Adolescent; Aged; Female; Humans; Male; Cross-Over Studies; *Neoplasms; Palliative Care/methods; *Pancreatic Neoplasms/therapy; Patients; Quality of Life,Kim CA; Lelond S; Daeninck PJ; Rabbani R; Lix L; McClement S; Chochinov HM; Goldenberg BA,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,2023,Apr,Support Care Cancer. 2023 Apr 6;31(4):250. doi: 10.1007/s00520-023-07709-3.,Germany,295,10078032
38891809,Identifying the Morphological and Molecular Features of a Cell-Based Orthotopic Pancreatic Cancer Mouse Model during Growth over Time.,"Pancreatic ductal adenocarcinoma (PDAC), characterized by hypovascularity, hypoxia, and desmoplastic stroma is one of the deadliest malignancies in humans, with a 5-year survival rate of only 7%. The anatomical location of the pancreas and lack of symptoms in patients with early onset of disease accounts for late diagnosis. Consequently, 85% of patients present with non-resectable, locally advanced, or advanced metastatic disease at diagnosis and rely on alternative therapies such as chemotherapy, immunotherapy, and others. The response to these therapies highly depends on the stage of disease at the start of therapy. It is, therefore, vital to consider the stages of PDAC models in preclinical studies when testing new therapeutics and treatment modalities. We report a standardized induction of cell-based orthotopic pancreatic cancer models in mice and the identification of vital features of their progression by ultrasound imaging and histological analysis of the level of pancreatic stellate cells, mature fibroblasts, and collagen. The results highlight that early-stage primary tumors are secluded in the pancreas and advance towards infiltrating the omentum at week 5-7 post implantation of the BxPC-3 and Panc-1 models investigated. Late stages show extensive growth, the infiltration of the omentum and/or stomach wall, metastases, augmented fibroblasts, and collagen levels. The findings can serve as suggestions for defining growth parameter-based stages of orthotopic pancreatic cancer models for the preclinical testing of drug efficacy in the future.","Animals; *Pancreatic Neoplasms/pathology/metabolism/genetics; Mice; *Carcinoma, Pancreatic Ductal/pathology/metabolism; Humans; *Disease Models, Animal; Cell Line, Tumor",Tansi FL; Schrepper A; Schwarzer M; Teichgraber U; Hilger I,International journal of molecular sciences,2024,May,Int J Mol Sci. 2024 May 22;25(11):5619. doi: 10.3390/ijms25115619.,Switzerland,341,11171605
31641536,Benefits of non-invasive methods compared to telemetry for distress analysis in a murine model of pancreatic cancer.,"Prospective severity assessment is legally required in many countries to ensure high-quality research along with high welfare standards for laboratory animals. Mice and rats, the most common laboratory species, are prey animals that usually suppress signs of pain and suffering. Therefore, highly sensitive readout parameters are necessary to adequately quantify distress. The present study compared the performance of different non-invasive methods in determining animal distress, such as measuring body weight, distress score, faecal corticosterone metabolites, burrowing, and nesting behaviour, with continuous monitoring of heart rate, body temperature and activity by telemetry. The distress caused by two surgical interventions was compared and the burden caused by tumour growth was described. Transmitter implantation caused higher distress than laparotomy plus carcinoma cell injection into the pancreas. Surprisingly, no significant increase in distress was observed during tumour growth. The receiver operating characteristic curve analysis revealed that some non-invasive distress-parameters, i.e., distress-score and burrowing activity, exhibited slightly better performance to quantify distress than the most suitable parameters measured by telemetry. Due to the high burden caused by the implantation of the telemetric device, the use of non-invasive methods to assess distress in laboratory animals after surgical interventions should be favoured in future studies.",,Kumstel S; Vasudevan P; Palme R; Zhang X; Wendt EHU; David R; Vollmar B; Zechner D,Journal of advanced research,2020,Mar,J Adv Res. 2019 Sep 14;21:35-47. doi: 10.1016/j.jare.2019.09.002. eCollection 2020 Mar.,Egypt,364,6796693
37014692,"Management of Pain and Cachexia in Pancreatic Cancer: Protocol for Two Systematic Reviews, Network Meta-Analysis, Surveys, and Focus Groups.","BACKGROUND:  Approximately 75% of people with pancreatic cancer experience pain, and >50% of them have cachexia (weakness and wasting of the body). However, there is considerable uncertainty regarding the management of these distressing symptoms. OBJECTIVE:  Our primary objectives are to compare the relative benefits and harms of different interventions for pain in people with unresectable pancreatic cancer and for prevention and treatment of cachexia due to pancreatic cancer, through systematic reviews and network meta-analysis. Our secondary objectives are to develop an evidence-based clinical care pathway to manage pain and prevent and treat cachexia in people with pancreatic cancer through surveys and focus groups involving patients, carers, and health care professionals. METHODS:  We will perform 2 systematic reviews of the literature related to pain and cachexia in people with pancreatic cancer using searches from Cochrane Library, MEDLINE, Embase, Science Citation Index, and trial registries. Two researchers will independently screen for eligibility and identify randomized controlled trials (no language or publication status restriction), comparing interventions for pain or cachexia based on full-texts for articles shortlisted during screening. We will assess risk of bias in the trials using the Cochrane risk of bias tool (version 2.0) and obtain data related to baseline prognostic characteristics, potential effect modifiers and outcome data related to overall survival, health-related quality of life, treatment-related complications, and resource utilisation. We aim to conduct network meta-analysis on outcomes with multiple treatment comparisons where possible, otherwise, meta-analysis with direct comparisons, or narrative synthesis. We will perform various subgroup and sensitivity analyses. Using information obtained from both systematic reviews, we will conduct 2 surveys: one directed to patients or carers to assess acceptability of interventions, and the other to health care professionals to assess feasibility of delivery in the National Health Service. Four mixed focus groups will be conducted to evaluate findings and foster consensus in the development of the care pathway. RESULTS:  Funding was awarded from April 2022 (NIHR202727). Both systematic review protocols were prospectively registered on PROSPERO in May 2022. Formal searches began thereafter. Approval by the University College London Research Ethics Committee (23563/001) was received in December 2022. Data collection began in January 2023; data analysis will begin in May 2023 (completion expected by October 2023). CONCLUSIONS:  This study will comprehensively encompass major interventions for management of pain in people with unresectable pancreatic cancer, and prevention and treatment of cachexia in people with pancreatic cancer. Key stakeholders will facilitate the development of an evidence-based care pathway, ensuring both acceptability and feasibility. The project ends in April 2024 and published results are expected within 12 months of completion. We aim to present the findings through patient group websites, conferences, and publications, irrespective of the findings, in a peer-reviewed journal. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/46335.",,Roberts DA; Watson E; Macdonald C; Khan Y; Prideaux S; Puthiyakunnel Saji A; Postaleniec E; Selvakumar J; Haghighat Ghahfarokhi M; Davidson B; Gurusamy K,JMIR research protocols,2023,Apr,JMIR Res Protoc. 2023 Apr 4;12:e46335. doi: 10.2196/46335.,Canada,526,10139686
29304816,Extracellular vesicles as mediators of the progression and chemoresistance of pancreatic cancer and their potential clinical applications.,"Pancreatic cancer is one of the most lethal cancers worldwide due to its insidious symptoms, early metastasis, and chemoresistance. Hence, the underlying mechanisms contributing to pancreatic cancer progression require further exploration. Based on accumulating evidence, extracellular vesicles, including exosomes and microvesicles, play a crucial role in pancreatic cancer progression and chemoresistance. Furthermore, they also possess the potential to be promising biomarkers, therapy targets and tools for treating pancreatic cancer. Therefore, in-depth studies on the role of extracellular vesicles in pancreatic cancer are meaningful. In this review, we focus on the regulatory effects of extracellular vesicles on pancreatic cancer progression, metastasis, cancer-related immunity and chemoresistance, particularly their potential roles as biomarkers and therapeutic targets.","Biomarkers; Cell Movement/genetics; Cell Proliferation; Cell-Derived Microparticles; Disease Progression; *Drug Resistance, Neoplasm; Extracellular Matrix/metabolism; Extracellular Vesicles/*metabolism; Humans; Immune Tolerance; Immunologic Surveillance; Neoplasm Metastasis; Pancreatic Neoplasms/diagnosis/drug therapy/immunology/*metabolism; Prognosis; Tumor Microenvironment",Qiu J; Yang G; Feng M; Zheng S; Cao Z; You L; Zheng L; Zhang T; Zhao Y,Molecular cancer,2018,Jan,Mol Cancer. 2018 Jan 5;17(1):2. doi: 10.1186/s12943-017-0755-z.,England,184,5756395
35634485,Endoscopic ultrasound guided interventions in the management of pancreatic cancer.,"There has been a growing interest in developing endoscopic ultrasound (EUS)-guided interventions for pancreatic cancer, some of which have become standard of care. There are two main factors that drive these advancements to facilitate treatment of patients with pancreatic cancer, ranging from direct locoregional therapy to palliation of symptoms related to inoperable pancreatic cancer. Firstly, an upper EUS has the capability to access the entire pancreas-lesions in the pancreatic head and uncinate process can be accessed from the duodenum, and lesions in the pancreatic body and tail can be accessed from the stomach. Secondly, there has been a robust development of devices that allow through-the-needle interventions, such as placement of fiducial markers, brachytherapy, intratumoral injection, gastroenterostomy creation, and ablation. While these techniques are rapidly emerging, data from a multicenter randomized controlled trial for some procedures are awaited prior to their adoption in clinical settings.",,Kerdsirichairat T; Shin EJ,World journal of gastrointestinal endoscopy,2022,Apr,World J Gastrointest Endosc. 2022 Apr 16;14(4):191-204. doi: 10.4253/wjge.v14.i4.191.,United States,263,9048490
38738113,A Unique Case of a Patient With Pancreatic Cancer Developing Leptomeningeal Metastases While on Gemcitabine and Nab-Paclitaxel.,"Brain metastases and leptomeningeal disease are rare with pancreatic cancer. Leptomeningeal disease is a catastrophic complication to have as patients deteriorate rapidly. Patients can present with symptoms of cranial nerve neuropathies, headache, nausea, and focal neurological deficits. We present a patient with metastatic pancreatic cancer who was treated initially with FOLFIRINOX (5-fluorouracil, leucovorin, irinotecan, and oxaliplatin) which resulted in marked clinical and radiologic improvement. However, he started to develop severe peripheral neuropathy and was switched to maintenance gemcitabine and nab-paclitaxel. On this regimen, his systemic disease was well controlled but he developed leptomeningeal carcinomatosis. To our knowledge, this is the first case of leptomeningeal metastases developing in a patient with pancreatic adenocarcinoma while on treatment with gemcitabine and nab-paclitaxel after cessation of FOLFIRINOX. We should maintain high clinical suspicion for leptomeningeal disease in pancreatic cancer, especially when systemic disease is well controlled, as the chemotherapeutic agents may not be crossing the blood-brain barrier effectively contributing to high morbidity and mortality.",,Chemarthi VS; Guron G; Shaaban H,Cureus,2024,Apr,Cureus. 2024 Apr 12;16(4):e58139. doi: 10.7759/cureus.58139. eCollection 2024 Apr.,United States,282,11088938
31811561,Long-term proton pump inhibitor usage and the association with pancreatic cancer in Sweden.,"BACKGROUND: The long-term safety of proton pump inhibitors (PPIs) is increasingly questioned. The aim of our study was to assess the risk of pancreatic cancer among long-term PPI users in Sweden. METHODS: This population-based nationwide Swedish cohort study including 796,492 adult long-term PPI users has been used to calculate the standardized incidence rate ratios (SIRs) and 95% confidence intervals (CI) for pancreatic cancer, stratifying by indications of use, age, sex, and duration of use. The risk among all 20,210 long-term H2-receptor antagonist users was assessed as comparison. RESULTS: Pancreatic cancer was found in 1733 long-term PPI users, and 25 H2-receptor antagonist users. For PPI users, the risk of pancreatic cancer was increased overall (SIRs = 2.22; 95% CI 2.12-2.32) and in all subgroup analyses, with the highest risk among PPI-users younger than 40 years (SIR = 8.90, 95% CI 4.26-16.37), and among individuals with a history of Helicobacter pylori (SIR = 2.99, 95% CI 2.54-3.49). After the first year after enrolment (during which PPI use may be because of early symptoms of pancreatic cancer), the risk remained increased over time, with SIR = 1.57 (95% CI 1.38-1.76) after 5 years. No associations were found for H2-receptor antagonists (SIR = 1.02, 95% CI 0.66-1.51). CONCLUSIONS: This large study showed an increased risk of pancreatic cancer in long-term users of PPIs in Sweden, in particular among the youngest users.",Adenocarcinoma/*epidemiology; Adolescent; Adult; Age Factors; Aged; Cohort Studies; Female; Gastroesophageal Reflux/drug therapy; Helicobacter Infections/drug therapy; Helicobacter pylori; Histamine H2 Antagonists/therapeutic use; Humans; Incidence; Male; Middle Aged; Pancreatic Neoplasms/*epidemiology/pathology; Peptic Ulcer/drug therapy; Proton Pump Inhibitors/*therapeutic use; Risk Factors; Sex Factors; Sweden/epidemiology; Time Factors; Young Adult,Brusselaers N; Sadr-Azodi O; Engstrand L,Journal of gastroenterology,2020,Apr,J Gastroenterol. 2020 Apr;55(4):453-461. doi: 10.1007/s00535-019-01652-z. Epub 2019 Dec 6.,Japan,244,7080689
38388909,Co-design and evaluation of a digital serious game to promote public awareness about pancreatic cancer.,"BACKGROUND: Pancreatic cancer, ranking seventh in global cancer-related deaths, poses a significant public health challenge with increasing incidence and mortality. Most cases are diagnosed at an advanced stage, resulting in low survival rates. Early diagnosis significantly impacts prognosis, making symptom awareness crucial. Symptoms are often subtle, leading to delayed help-seeking behaviour. Patients and their carers prioritise increased public awareness, indicating a need for innovative approaches to promote awareness of the disease. METHODS: This study employed a quasi-experimental pre-test/post-test design to assess the relationship between a serious game and pancreatic cancer awareness. Members of the public (N = 727) were recruited internationally, via social media and with signposting by relevant organisations. Participants completed measures of symptom awareness and help-seeking intentions before and after playing the game. The serious game, co-designed with experts by lived experience, patient advocates and healthcare professionals, presented participants with a human anatomy diagram, with each section linked to a question about pancreatic cancer. RESULTS: The serious game demonstrated a statistically significant improvement on pancreatic cancer awareness based on matched paired t-tests. Due to missing data, paired comparisons were only possible for 489 cases. Symptom awareness scores exhibited a statistically significant increase from pre-test to post-test, with a large effect size (p < 0.001, d = 1.43). Help-seeking intentions also markedly improved, showing a significant increase from pre-test to post-test, with a large effect size (p < 0.001, d = 1.10). Independent-samples t-tests were also conducted to determine if there were any group differences on pre- to post-test changes based on age, gender, and previous knowledge and/or experience of pancreatic cancer. Participants overwhelmingly endorsed the game's usability and educational value, suggesting its potential as an effective tool for enhancing public awareness and proactive health-seeking behaviour. DISCUSSION: This study is the first to explore a serious game's utility in pancreatic cancer awareness. Results suggest that such interventions can effectively increase public awareness and influence help-seeking intentions. The co-design process ensured content relevance, and participant satisfaction was high. Findings highlight the game's potential as an accessible and convenient tool for diverse populations.",Humans; *Pancreatic Neoplasms/diagnosis; Health Personnel; Health Behavior,Anderson T; Prue G; McDowell G; Stark P; Brown Wilson C; Graham Wisener L; Kerr H; Caughers G; Rogers K; Cook L; Craig S; Alanazi A; Mitchell G,BMC public health,2024,Feb,BMC Public Health. 2024 Feb 22;24(1):570. doi: 10.1186/s12889-024-18050-7.,England,422,10885377
29628495,Pancreaticoduodenectomy with Preservation of Collateral Circulation or Revascularization for Biliary Pancreatic Cancer with Celiac Axis Occlusion: A Report of 2 Cases.,"BACKGROUND In cases of celiac axis occlusion requiring pancreaticoduodenectomy for malignancy, both oncologic curability and control of hepatic arterial flow must be considered, but the operative strategy is undeveloped. CASE REPORT Case 1: A 74-year-old man was diagnosed with hilar cholangiocarcinoma with celiac axis stenosis. The collateral from the superior mesenteric artery ran through the pancreas head but no invasion was observed in preoperative imaging. Hepatopancreatoduodenectomy with preservation of a collateral was performed. Case 2: A 69-year-old woman was diagnosed with pancreas head cancer with celiac axis occlusion. The collateral from the superior mesenteric artery ran through pancreas head and tumor invasion was observed. Pancreaticoduodenectomy with bypass revascularization using a vein graft was performed. Both operations were performed safely oncologically under preoperative planning that was based on computed tomographic angiography. The operative procedure was ultimately determined by evaluation of perioperative blood flow under Doppler ultrasonography after clamping the gastroduodenal artery. CONCLUSIONS Preoperative simulations of arterial revascularization and perioperative evaluation of blood flow are necessary for the success of this procedure.","Aged; *Collateral Circulation; Computed Tomography Angiography; Female; Hepatic Artery/*surgery; Humans; Liver/blood supply; Male; Median Arcuate Ligament Syndrome/diagnosis/etiology/*surgery; Mesenteric Artery, Superior/*surgery; Pancreatic Neoplasms/complications/*surgery; Pancreaticoduodenectomy/*methods; Vascular Surgical Procedures/*methods",Shibuya K; Kamachi H; Orimo T; Nagatsu A; Shimada S; Wakayama K; Yokoo H; Kamiyama T; Taketomi A,The American journal of case reports,2018,Apr,Am J Case Rep. 2018 Apr 9;19:413-420. doi: 10.12659/ajcr.908516.,United States,397,5912007
39711061,A Randomized Controlled Trial of Mindfulness Meditation Combined With BrainLink Intelligent Biofeedback Instrument on Pancreatic Cancer Patients Under Chemotherapy.,"BACKGROUND: Adjuvant chemotherapy can promote the 5-year overall survival rate of pancreatic cancer (PC) patients to 16%-21%. However, the negative emotions of patients, such as anxiety, are usually omitted. Moreover, their disease burden concentrates on pain symptoms, seriously affecting the quality of life of patients. How to improve the negative emotions of PC patients, alleviate their pain, and ameliorate their quality of life has become an urgent issue. OBJECTIVE: To explore the effect of mindfulness meditation (MM) combined with the BrainLink intelligent biofeedback instrument on the anxiety, pain, brain fatigue, and quality of life of PC patients under chemotherapy. METHOD: A total of 145 PC patients under chemotherapy were admitted to the Department of Hepatobiliary Surgery of the Second Affiliated Hospital of Army Military Medical University from January 2022 to March 2024 and were incorporated as study objects. They were divided into a control group (n = 72) and a test group (n = 73) according to the random number table. The control group received routine nursing treatment; the experimental group was treated with MM combined with an intelligent biofeedback instrument. The general information, anxiety (SAS), pain (VAS), EEG signal data (degrees of fatigue, concentration, and relaxation and EEG waves), and quality of life (EORTC QLQ-C30) of the two groups before intervention and 4th, 8th, and 12th weeks after intervention were compared. RESULT: There is no significant difference in baseline data and pathological features between the two groups. After the 4th, 8th, and 12th weeks of intervention, the SAS values of the experimental group are remarkably lower than those of the control group (p < 0.05). In the 4th, 8th, and 12th weeks of intervention, the VAS scores of the experimental group are apparently lower than those of the control group (p < 0.05). In the 4th, 8th, and 12th weeks of intervention, the score of the quality of life (EORTC QLQ-C30) in the experimental group is significantly higher than that in the control group (p < 0.05). In the 4th, 8th, and 12th weeks, compared with the control group, the experimental group patients showed significant improvement in brain fatigue relief, concentration, and relaxation levels (p < 0.05), while the experimental group's brain alpha and theta. The wave showed an upward trend (p < 0.05). CONCLUSION: MM combined with the BrainLink intelligent biofeedback instrument can significantly mitigate the anxiety, pain severity, and brain fatigue relief degree of PC patients under chemotherapy, thereby promoting their quality of life. It provides a novel intervention for the psychosomatic health of PC patients under chemotherapy.","Humans; *Pancreatic Neoplasms/therapy/drug therapy; Male; *Mindfulness/methods; Female; Middle Aged; *Quality of Life; *Anxiety/therapy/etiology; *Meditation/methods; *Biofeedback, Psychology/methods; Fatigue/therapy/etiology; Adult; Aged; Chemotherapy, Adjuvant",Mi N; Zhang ST; Sun XL; Li T; Liao Y; Dong L; Chu LL,Brain and behavior,2024,Dec,Brain Behav. 2024 Dec;14(12):e70197. doi: 10.1002/brb3.70197.,United States,487,11664036
34744438,Targeting Endoglin Expressing Cells in the Tumor Microenvironment Does Not Inhibit Tumor Growth in a Pancreatic Cancer Mouse Model.,"BACKGROUND: Pancreatic ductal adenocarcinoma (PDAC) is one of the most lethal forms of cancer and is known to have low immunogenicity and an immunosuppressive microenvironment. It is also characterized by high accumulation of dense stroma, composed of mostly cancer-associated fibroblasts (CAFs). Multiple subsets of CAFs are described, with one of them expressing the transforming growth factor (TGF)-beta co-receptor endoglin. In previous work, we and others have shown that endoglin-expressing CAFs stimulate tumor progression and metastasis. Therefore, in this study, we set out to investigate the role of endoglin-expressing CAFs in pancreatic cancer progression. METHODS: First, we investigated the expression of endoglin on CAFs in both human tissues as well as a mouse model for PDAC. Since CAF-specific endoglin expression was high, we targeted endoglin by using the endoglin neutralizing antibody TRC105 in the murine KPC model for PDAC. RESULTS: Although some signs of immune activation were observed, TRC105 did not affect tumor growth. Since 90% of the CD8+ T-cells expressed the immune checkpoint PD-1, we investigated the combination with a PD1 checkpoint inhibitor, which did not enhance therapeutic responses. Finally, genetic deletion of endoglin from collagen 1a1 expressing cells also did not affect the growth of the mouse KPC tumors. CONCLUSION: Our results show that although endoglin is highly expressed on PDAC-CAFs and signaling is efficiently inhibited by TRC105, this does not result in decreased tumor growth in the KPC model for pancreatic cancer.",,Schoonderwoerd MJA; Hakuno SK; Sassen M; Kuhlemaijer EB; Paauwe M; Slingerland M; Fransen MF; Hawinkels LJAC,OncoTargets and therapy,2021,,Onco Targets Ther. 2021 Oct 29;14:5205-5220. doi: 10.2147/OTT.S322276. eCollection 2021.,New Zealand,349,8565992
