article_id,entity,label,dataset,cui,preferred_name,rootSource,semantic_types
PMC6852709,primary tumor resection,TREATMENT,PMC,C5409380,Initial resection of primary malignant tumor of peritoneum with bilateral salpingo-oophorectomy and omentectomy,CPT,Therapeutic or Preventive Procedure
PMC6852709,propensity matching,TEST,PMC,,,,
PMC6852709,longer,PROBLEM,PMC,C1815234,Play Longer,MMSL,Pharmacologic Substance
PMC6852709,treatment weightadjusted analysis,TEST,PMC,,,,
PMC6852709,our study,TEST,PMC,,,,
PMC6852709,mpc,PROBLEM,PMC,C0026604,"Motion Therapy, Continuous Passive",MTH,Therapeutic or Preventive Procedure
PMC6852709,primary tumor surgery,TREATMENT,PMC,,,,
PMC6852709,the surgical inclusion criteria,TREATMENT,PMC,,,,
PMC6852709,surgery,TREATMENT,PMC,C0038894,Surgery specialty,MTH,Biomedical Occupation or Discipline
PMC6852709,symptom control,TREATMENT,PMC,C1274136,Symptom control (regime/therapy),MTH,Therapeutic or Preventive Procedure
PMC6852709,metastatic pancreatic cancer,PROBLEM,PMC,C0346976,Metastatic malignant neoplasm to pancreas,SNOMEDCT_US,Neoplastic Process
PMC6852709,our study,TEST,PMC,,,,
PMC6852709,mpc,PROBLEM,PMC,C0026604,"Motion Therapy, Continuous Passive",MTH,Therapeutic or Preventive Procedure
PMC6852709,primary tumor surgery,TREATMENT,PMC,,,,
PMC6852709,the surgical inclusion criteria,TREATMENT,PMC,,,,
PMC6852709,surgery,TREATMENT,PMC,C0038894,Surgery specialty,MTH,Biomedical Occupation or Discipline
PMC6852709,symptom control,TREATMENT,PMC,C1274136,Symptom control (regime/therapy),MTH,Therapeutic or Preventive Procedure
PMC6852709,metastatic pancreatic cancer,PROBLEM,PMC,C0346976,Metastatic malignant neoplasm to pancreas,SNOMEDCT_US,Neoplastic Process
PMC6852709,our study,TEST,PMC,,,,
PMC6852709,mpc,PROBLEM,PMC,C0026604,"Motion Therapy, Continuous Passive",MTH,Therapeutic or Preventive Procedure
PMC6852709,primary tumor surgery,TREATMENT,PMC,,,,
PMC6852709,oligometastasis,PROBLEM,PMC,C4682437,Oligometastasis,NCI,Pathologic Function
PMC6852709,chemotherapy,TREATMENT,PMC,C3665472,Chemotherapy,MTH,Therapeutic or Preventive Procedure
PMC6852709,resection,TREATMENT,PMC,C0728940,Excision,MTH,Therapeutic or Preventive Procedure
PMC6852709,the surgical inclusion criteria,TREATMENT,PMC,,,,
PMC6852709,surgery,TREATMENT,PMC,C0038894,Surgery specialty,MTH,Biomedical Occupation or Discipline
PMC6852709,symptom control,TREATMENT,PMC,C1274136,Symptom control (regime/therapy),MTH,Therapeutic or Preventive Procedure
PMC6852709,thorough evaluation,TEST,PMC,,,,
PMC6420955,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC6420955,cancerrelated deaths,PROBLEM,PMC,,,,
PMC6420955,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC6420955,a tumour,PROBLEM,PMC,C2362754,Tumour staging,MTH,Laboratory Procedure
PMC6420955,the latepresenting symptoms,PROBLEM,PMC,,,,
PMC6420955,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC6420955,imaging techniques,TEST,PMC,C0079595,Imaging Techniques,MTH,Diagnostic Procedure
PMC6420955,magnetic resonance imaging,TEST,PMC,C0024485,Magnetic Resonance Imaging,MTH,Diagnostic Procedure
PMC6420955,endoscopic ultrasound,TEST,PMC,C0376443,Endoscopic Ultrasound,MTH,Diagnostic Procedure
PMC6420955,computer topography,TEST,PMC,C2107014,computerized corneal topography,MEDCIN,Diagnostic Procedure
PMC6420955,imaging modalities,TEST,PMC,C1275506,Imaging modality,MTH,Functional Concept
PMC6420955,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC6420955,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC6420955,reliable techniques,TREATMENT,PMC,,,,
PMC6420955,cancer,PROBLEM,PMC,C0998265,Cancer <Cancridae>,MTH,Eukaryote
PMC6420955,pancreatic adenocarcinomas,PROBLEM,PMC,C1335302,Pancreatic Ductal Adenocarcinoma,MTH,Neoplastic Process
PMC6420955,a microscopic marginnegative surgical resection,TREATMENT,PMC,,,,
PMC6420955,early tumour identification,PROBLEM,PMC,,,,
PMC6420955,considerable morbidity,PROBLEM,PMC,,,,
PMC6420955,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC6420955,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC6420955,a genetic screen,TEST,PMC,C0813145,Genetic Screening,MTH,Diagnostic Procedure
PMC6420955,management,TREATMENT,PMC,C0376636,Disease Management,MTH,Health Care Activity
PMC6420955,pancreatic cancers,PROBLEM,PMC,C0346647,Malignant neoplasm of pancreas,MTH,Neoplastic Process
PMC6420955,further screening modalities,TEST,PMC,,,,
PMC6420955,investigations,TEST,PMC,C1261322,Evaluation procedure,MTH,Health Care Activity
PMC6420955,imaging techniques,TEST,PMC,C0079595,Imaging Techniques,MTH,Diagnostic Procedure
PMC6420955,interventional radiology,TEST,PMC,C0034602,Interventional radiology,MTH,Biomedical Occupation or Discipline
PMC6420955,management,TREATMENT,PMC,C0376636,Disease Management,MTH,Health Care Activity
PMC6420955,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC4547403,microrna mirna expression,TEST,PMC,,,,
PMC4547403,malignancy,PROBLEM,PMC,C0006826,Malignant Neoplasms,MTH,Neoplastic Process
PMC4547403,mirnas,TEST,PMC,C1101610,MicroRNAs,MTH,"Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance"
PMC4547403,alternative diagnostic markers,TEST,PMC,,,,
PMC4547403,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC4547403,a highly aggressive neoplasm,PROBLEM,PMC,,,,
PMC4547403,silent early symptoms,PROBLEM,PMC,,,,
PMC4547403,high metastatic potential,PROBLEM,PMC,,,,
PMC4547403,conventional therapies,TREATMENT,PMC,C5442354,Conventional oxygen therapy,MDR,Therapeutic or Preventive Procedure
PMC4547403,this study,TEST,PMC,C3172868,Was this on a farm:Find:Pt:^Patient:Nom:PEG Study,LNC,Clinical Attribute
PMC4547403,multiomics data analysis,TEST,PMC,,,,
PMC4547403,integrating mirna,TEST,PMC,,,,
PMC4547403,mrna expression data,TEST,PMC,,,,
PMC4547403,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC4547403,support vector machine,TREATMENT,PMC,C2699740,Support Vector Machine,MSH,Quantitative Concept
PMC4547403,mirna and mrna expression profiles,TEST,PMC,,,,
PMC4547403,104 pdac tissues,PROBLEM,PMC,,,,
PMC4547403,17 benign pancreatic tissues,PROBLEM,PMC,,,,
PMC4547403,robust markers,TEST,PMC,,,,
PMC4547403,validation,TEST,PMC,C1519941,Validation,MTH,Research Activity
PMC4547403,validation,TEST,PMC,C1519941,Validation,MTH,Research Activity
PMC4547403,mirna activity,TEST,PMC,C5815048,miRNA inhibitor activity,GO,Genetic Function
PMC4547403,mrna expression datasets,TEST,PMC,,,,
PMC4547403,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC4547403,a comprehensive identification approach,TEST,PMC,,,,
PMC4547403,pdac,PROBLEM,PMC,,,,
PMC4547403,cancer pathways,PROBLEM,PMC,C2984249,Cancer Pathway,NCI,Functional Concept
PMC4547403,gene ontology analysis,TEST,PMC,,,,
PMC4547403,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC4547403,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC4547403,pdac diagnosis,PROBLEM,PMC,,,,
PMC4547403,mirna gene expression profiles,TEST,PMC,,,,
PMC4547403,a svm model,TREATMENT,PMC,,,,
PMC4547403,sample class weights,TREATMENT,PMC,,,,
PMC4547403,crossvalidation,TREATMENT,PMC,,,,
PMC4547403,sample partitioning,TEST,PMC,,,,
PMC4547403,27 mirnas,TEST,PMC,,,,
PMC4547403,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC9656492,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC9656492,locally advanced pancreatic cancer,PROBLEM,PMC,,,,
PMC9656492,chemotherapy,TREATMENT,PMC,C3665472,Chemotherapy,MTH,Therapeutic or Preventive Procedure
PMC9656492,the treatment regimen,TREATMENT,PMC,C5204766,Treatment Regimen #1,NCI,Therapeutic or Preventive Procedure
PMC9656492,this study,TEST,PMC,C3172868,Was this on a farm:Find:Pt:^Patient:Nom:PEG Study,LNC,Clinical Attribute
PMC9656492,locally advanced pancreatic cancer,PROBLEM,PMC,,,,
PMC9656492,standardofcare treatment,TREATMENT,PMC,,,,
PMC9656492,chemotherapy,TREATMENT,PMC,C3665472,Chemotherapy,MTH,Therapeutic or Preventive Procedure
PMC9656492,stereotactic body radiotherapy,TREATMENT,PMC,C1720823,Stereotactic Body Radiotherapy,MSH,Therapeutic or Preventive Procedure
PMC9656492,an immunological adjuvant,TREATMENT,PMC,C0001551,Immunologic Adjuvants,MTH,"Pharmacologic Substance, Immunologic Factor"
PMC9656492,this combination treatment,TREATMENT,PMC,,,,
PMC9656492,a potent antitumor immune response,TREATMENT,PMC,,,,
PMC9656492,this study,TEST,PMC,C3172868,Was this on a farm:Find:Pt:^Patient:Nom:PEG Study,LNC,Clinical Attribute
PMC9656492,immunomodulatory effects,TREATMENT,PMC,,,,
PMC9656492,the treatment,TREATMENT,PMC,C1705169,Biomaterial Treatment,MTH,Conceptual Entity
PMC9656492,the peripheral blood,TEST,PMC,C0229664,peripheral blood,MTH,Body Substance
PMC9656492,the treatment,TREATMENT,PMC,C1705169,Biomaterial Treatment,MTH,Conceptual Entity
PMC9656492,immune monitoring,TEST,PMC,C0026428,"Monitoring, Immunologic",MSH,Health Care Activity
PMC9656492,the peripheral blood,TEST,PMC,C0229664,peripheral blood,MTH,Body Substance
PMC9656492,transient lymphodepletion,PROBLEM,PMC,,,,
PMC9656492,immune activation,PROBLEM,PMC,C4049273,Systemic immune activation,MDR,Disease or Syndrome
PMC9656492,treatment,TREATMENT,PMC,C1522326,Treating,MTH,Functional Concept
PMC9656492,immune activation,PROBLEM,PMC,C4049273,Systemic immune activation,MDR,Disease or Syndrome
PMC9656492,treatment,TREATMENT,PMC,C1522326,Treating,MTH,Functional Concept
PMC9656492,improved progressionfree survival,PROBLEM,PMC,,,,
PMC9656492,locally advanced pancreatic cancer,PROBLEM,PMC,,,,
PMC9656492,chemotherapy,TREATMENT,PMC,C3665472,Chemotherapy,MTH,Therapeutic or Preventive Procedure
PMC9656492,stereotactic body radiotherapy,TREATMENT,PMC,C1720823,Stereotactic Body Radiotherapy,MSH,Therapeutic or Preventive Procedure
PMC9656492,the regimen,TREATMENT,PMC,C3827418,XELIRI Regimen,MTH,Therapeutic or Preventive Procedure
PMC9656492,an adjuvant,TREATMENT,PMC,C1522673,Adjuvant,MTH,Functional Concept
PMC9656492,a heatkilled mycobacterium,TREATMENT,PMC,,,,
PMC9656492,sbrt,TREATMENT,PMC,C3896609,Stereotactic Body Radiation Therapy,MTH,Therapeutic or Preventive Procedure
PMC9656492,beneficial immunomodulatory effects,TREATMENT,PMC,,,,
PMC9656492,this study,TEST,PMC,C3172868,Was this on a farm:Find:Pt:^Patient:Nom:PEG Study,LNC,Clinical Attribute
PMC9656492,imm101,TREATMENT,PMC,C3501154,IMM-101,MSH,"Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor"
PMC9656492,sbrt,TREATMENT,PMC,C3896609,Stereotactic Body Radiation Therapy,MTH,Therapeutic or Preventive Procedure
PMC9656492,the immunomodulatory effects,TREATMENT,PMC,,,,
PMC9656492,the combination treatment,TREATMENT,PMC,C2051544,patient combination lift,MEDCIN,Medical Device
PMC9656492,sbrt,TREATMENT,PMC,C3896609,Stereotactic Body Radiation Therapy,MTH,Therapeutic or Preventive Procedure
PMC9656492,six intradermal vaccinations,TREATMENT,PMC,,,,
PMC9656492,an observed toxicity rate,PROBLEM,PMC,,,,
PMC9656492,grade 4,PROBLEM,PMC,C4284297,Simpson Grade 4,MTH,Intellectual Product
PMC9656492,targeted geneexpression profiling,TEST,PMC,,,,
PMC9656492,multicolor flow cytometry,TEST,PMC,,,,
PMC9656492,longitudinal immunemonitoring,TEST,PMC,,,,
PMC9656492,the peripheral blood,TEST,PMC,C0229664,peripheral blood,MTH,Body Substance
PMC9656492,study treatment,TREATMENT,PMC,C3641099,Study Treatment Causality,NCI,Idea or Concept
PMC9656492,treatmentrelated adverse events,PROBLEM,PMC,,,,
PMC9656492,sbrtimm101,TREATMENT,PMC,,,,
PMC9656492,a transient decrease in different lymphocyte subsets,PROBLEM,PMC,,,,
PMC9656492,an increase in cd14cd16cd11bhladrlowmyeloidderived,PROBLEM,PMC,,,,
PMC9656492,treatment,TREATMENT,PMC,C1522326,Treating,MTH,Functional Concept
PMC9656492,increased activated icos,PROBLEM,PMC,,,,
PMC9656492,hladr,TEST,PMC,C1532177,Percentage count of cells positive for both CD34 antigen and HLA-DR antigen,SNOMEDCT_US,Laboratory Procedure
PMC9656492,ki67pd1,TEST,PMC,,,,
PMC9656492,nk cell frequencies,TEST,PMC,,,,
PMC9656492,increased levels,PROBLEM,PMC,C5775494,Increased ammonia levels,OMIM,Finding
PMC9656492,tim3,TEST,PMC,C3541254,HAVCR2 wt Allele,MTH,Gene or Genome
PMC9656492,lag3,TEST,PMC,C1416771,LAG3 gene,MTH,Gene or Genome
PMC9656492,combination therapy,TREATMENT,PMC,C0556895,Combination electrotherapy,MTH,Therapeutic or Preventive Procedure
PMC9656492,sbrt,TREATMENT,PMC,C3896609,Stereotactic Body Radiation Therapy,MTH,Therapeutic or Preventive Procedure
PMC9656492,a heatkilled mycobacterium vaccine,TREATMENT,PMC,,,,
PMC9656492,an immunestimulatory effect,TREATMENT,PMC,,,,
PMC9656492,phase i study,TEST,PMC,C0920321,Phase I Clinical Trials,MTH,Research Activity
PMC9656492,intradermal imm101,TREATMENT,PMC,,,,
PMC9656492,sbrt,TREATMENT,PMC,C3896609,Stereotactic Body Radiation Therapy,MTH,Therapeutic or Preventive Procedure
PMC9656492,lapc,PROBLEM,PMC,,,,
PMC9656492,transient lymphodepletion,PROBLEM,PMC,,,,
PMC9656492,enhanced t cell activation,PROBLEM,PMC,C4551967,B-CELL EXPANSION WITH NFKB AND T-CELL ANERGY,MTH,Disease or Syndrome
PMC9656492,the peripheral blood,TEST,PMC,C0229664,peripheral blood,MTH,Body Substance
PMC9656492,increased levels of activated t cells,PROBLEM,PMC,,,,
PMC9656492,treatment,TREATMENT,PMC,C1522326,Treating,MTH,Functional Concept
PMC9656492,future studies,TEST,PMC,,,,
PMC9656492,the intratumoral administration of imm101,TREATMENT,PMC,,,,
PMC9656492,other immunotherapeutic agents,TREATMENT,PMC,,,,
PMC9656492,adaptive responses,TREATMENT,PMC,C1749719,Adaptive Immune Response,MSH,Organism Function
PMC9656492,immune checkpoint blockade,TREATMENT,PMC,C5392067,Immune Checkpoint Blockade,MSH,Cell Function
PMC9656492,adoptive cell transfer therapy,TREATMENT,PMC,C0079613,Adoptive Immunotherapy,MTH,Therapeutic or Preventive Procedure
PMC9656492,limited treatment options,TREATMENT,PMC,C5913286,"Provide information about risks, benefits, and limitations of treatment or management options, as well as options for dealing with recurrence risk",NIC,Health Care Activity
PMC8648660,the metal chelating portion,TREATMENT,PMC,,,,
PMC8648660,thiosemicarbazone,TREATMENT,PMC,C0039946,Thiosemicarbazones,MTH,Organic Chemical
PMC8648660,the cytotoxic activity of sigma2 receptors,TREATMENT,PMC,,,,
PMC8648660,a promising strategy,TREATMENT,PMC,C5144326,"Current level of confidence I can use a strategy (for example: humor, leaving a situation) to keep from getting upset:Find:Pt:^Patient:Ord:PROMIS",LNC,Clinical Attribute
PMC8648660,the treatment,TREATMENT,PMC,C1705169,Biomaterial Treatment,MTH,Conceptual Entity
PMC8648660,pancreatic tumors,PROBLEM,PMC,C0030297,Pancreatic Neoplasm,MTH,Neoplastic Process
PMC8648660,a novel sigma2 receptor targeting thiosemicarbazone,TREATMENT,PMC,,,,
PMC8648660,a moiety,TREATMENT,PMC,C1552018,active moiety,HL7V3.0,Chemical Viewed Functionally
PMC8648660,lysosome destabilization,PROBLEM,PMC,,,,
PMC8648660,ros increase,PROBLEM,PMC,C4476796,Increased reactive oxygen species production,HPO,Cell or Molecular Dysfunction
PMC8648660,efficient antitumor agents,TREATMENT,PMC,,,,
PMC8648660,pancreatic cancer cells,PROBLEM,PMC,C3824982,Pancreatic acinar cells--Cancer,LCH_NW,Cell
PMC8648660,flow cytometry,TEST,PMC,C0016263,Flow Cytometry,MSH,Laboratory Procedure
PMC8648660,these cells,TEST,PMC,,,,
PMC8648660,cytotoxicity,TEST,PMC,C0596402,cytotoxicity,MTH,Cell or Molecular Dysfunction
PMC8648660,activation of er and mitochondriadependent cell death pathways,PROBLEM,PMC,,,,
PMC8648660,grp78,TEST,PMC,C1415761,HSPA5 gene,MTH,Gene or Genome
PMC8648660,atf6,TEST,PMC,C1412622,ATF6 gene,MTH,Gene or Genome
PMC8648660,perk,TEST,PMC,C0683783,perquisite,MTH,Quantitative Concept
PMC8648660,ros levels,TEST,PMC,C1277853,Ross river fever antibody level,SNOMEDCT_US,Laboratory Procedure
PMC8648660,mitosox,TEST,PMC,C1958579,MitoSOX,MSH,Organic Chemical
PMC8648660,dcfdaam,TEST,PMC,,,,
PMC8648660,jc1 staining,TEST,PMC,,,,
PMC8648660,the thiosemicarbazones fa4,TREATMENT,PMC,,,,
PMC8648660,autophagic proteins,PROBLEM,PMC,C3884619,"atg-16.1 protein, C elegans",MSH,"Amino Acid, Peptide, or Protein, Biologically Active Substance"
PMC8648660,atg12,TEST,PMC,C1865043,ATG12 gene,MTH,Gene or Genome
PMC8648660,beclin,TREATMENT,PMC,C4255099,Beclin-1,MTH,"Amino Acid, Peptide, or Protein"
PMC8648660,fa4 in xenograft models,TREATMENT,PMC,,,,
PMC8648660,gemcitabine challenge,TREATMENT,PMC,,,,
PMC8648660,a more potent cytotoxicity,PROBLEM,PMC,,,,
PMC8648660,thiosemicarbazones,TREATMENT,PMC,C0039946,Thiosemicarbazones,MTH,Organic Chemical
PMC8648660,variable effects on the er,PROBLEM,PMC,,,,
PMC8648660,the mitochondriadependent proapoptotic axis,PROBLEM,PMC,,,,
PMC8648660,fa4 activated proapoptotic pathways,PROBLEM,PMC,,,,
PMC8648660,decreased autophagy,PROBLEM,PMC,,,,
PMC8648660,miapaca2 cells,PROBLEM,PMC,,,,
PMC8648660,autophagic proteins,PROBLEM,PMC,C3884619,"atg-16.1 protein, C elegans",MSH,"Amino Acid, Peptide, or Protein, Biologically Active Substance"
PMC8648660,fa4 treatment,TREATMENT,PMC,,,,
PMC8648660,panc1 xenografted mouse models,TREATMENT,PMC,,,,
PMC8648660,conventional chemotherapy,TREATMENT,PMC,,,,
PMC8648660,significantly reduced tumor volumes,PROBLEM,PMC,,,,
PMC8648660,increased intratumor apoptosis,PROBLEM,PMC,,,,
PMC8648660,gemcitabine,TREATMENT,PMC,C0045093,gemcitabine,MTH,"Nucleic Acid, Nucleoside, or Nucleotide, Pharmacologic Substance"
PMC8648660,our data,TEST,PMC,,,,
PMC8648660,pancreatic cancer cells,PROBLEM,PMC,C3824982,Pancreatic acinar cells--Cancer,LCH_NW,Cell
PMC8648660,gemcitabine,TREATMENT,PMC,C0045093,gemcitabine,MTH,"Nucleic Acid, Nucleoside, or Nucleotide, Pharmacologic Substance"
PMC8648660,further investigation,TEST,PMC,C4296499,Physical health needs that require further investigation,LNC,Finding
PMC8648660,patientderived pancreatic cancers,PROBLEM,PMC,,,,
PMC8648660,therapies,TREATMENT,PMC,C0087111,Therapeutic procedure,MTH,Therapeutic or Preventive Procedure
PMC8648660,individual tumor types,PROBLEM,PMC,,,,
PMC8648660,our data,TEST,PMC,,,,
PMC8648660,pancreatic cancer cells,PROBLEM,PMC,C3824982,Pancreatic acinar cells--Cancer,LCH_NW,Cell
PMC8648660,gemcitabine,TREATMENT,PMC,C0045093,gemcitabine,MTH,"Nucleic Acid, Nucleoside, or Nucleotide, Pharmacologic Substance"
PMC8648660,further investigation,TEST,PMC,C4296499,Physical health needs that require further investigation,LNC,Finding
PMC8648660,patientderived pancreatic cancers,PROBLEM,PMC,,,,
PMC8648660,therapies,TREATMENT,PMC,C0087111,Therapeutic procedure,MTH,Therapeutic or Preventive Procedure
PMC8648660,individual tumor types,PROBLEM,PMC,,,,
PMC7731834,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC7731834,screening programs,TEST,PMC,C4704706,Diagnostic Screening Programs,MSH,Diagnostic Procedure
PMC7731834,moderate and highrisk people,PROBLEM,PMC,,,,
PMC7731834,a prospective study,TEST,PMC,C0033522,Prospective Studies,MTH,Research Activity
PMC7731834,endoscopic ultrasound,TEST,PMC,C0376443,Endoscopic Ultrasound,MTH,Diagnostic Procedure
PMC7731834,pancreatic cancer screening,PROBLEM,PMC,,,,
PMC7731834,pc,PROBLEM,PMC,C1418288,PC gene,MTH,Gene or Genome
PMC7731834,pc,PROBLEM,PMC,C1418288,PC gene,MTH,Gene or Genome
PMC7731834,pcassociated genetic mutations,PROBLEM,PMC,,,,
PMC7731834,pc,PROBLEM,PMC,C1418288,PC gene,MTH,Gene or Genome
PMC7731834,pcassociated mutations,PROBLEM,PMC,,,,
PMC7731834,brca2,PROBLEM,PMC,C0598034,BRCA2 gene,MTH,Gene or Genome
PMC7731834,lynch syndrome,PROBLEM,PMC,C4552100,Lynch Syndrome,MTH,Disease or Syndrome
PMC7731834,familial atypical multiple mole melanoma syndrome,PROBLEM,PMC,C2314896,Familial Atypical Mole Melanoma Syndrome,MTH,Neoplastic Process
PMC7731834,a screening eus,TEST,PMC,,,,
PMC7731834,pc,PROBLEM,PMC,C1418288,PC gene,MTH,Gene or Genome
PMC7731834,eus,TEST,PMC,C0376443,Endoscopic Ultrasound,MTH,Diagnostic Procedure
PMC7731834,psychological symptoms,PROBLEM,PMC,C0233397,Psychological symptom,SNOMEDCT_US,Sign or Symptom
PMC7731834,personal,TEST,PMC,C1519021,Personal Attribute,MTH,Organism Attribute
PMC7731834,the screening,TEST,PMC,C1710032,Screening,MTH,Health Care Activity
PMC7731834,a screening eus,TEST,PMC,,,,
PMC7731834,pc,PROBLEM,PMC,C1418288,PC gene,MTH,Gene or Genome
PMC7731834,pcassociated mutations,PROBLEM,PMC,,,,
